票站編號,票站名稱,地址,推算選區,立法會選區
G1701,博愛醫院任永賢夫人幼稚園幼兒中心,九龍紅磡海逸豪園23座地下,G17,九龍西
G1702,紅磡社區會堂,九龍紅磡庇利街42號九龍城政府合署高層地下,G17,九龍西
G1801,葛量洪校友會黃埔學校,九龍紅磡黃埔花園德安街30號,G18,九龍西
G1901,馬頭涌官立小學(紅磡灣),九龍紅磡灣愛景街3號,G19,九龍西
G1902,香港青少年服務處賽馬會方樹泉綜合青少年服務中心,九龍紅磡黃埔花園第二期十八座1樓,G19,九龍西
G2001,聖公會聖匠中學,九龍紅磡大環道10號,G20,九龍西
G2101,紅磡市政大廈體育館,九龍紅磡馬頭圍道11號紅磡市政大廈3樓,G21,九龍西
G2201,愛培學校,九龍紅磡差館里16號,G22,九龍西
G2301,何文田體育館,九龍何文田忠義街1號,G23,九龍西
G2401,路德會包美達社區中心,九龍何文田忠孝街89號1樓,G24,九龍西
H0101,黃大仙社區中心,九龍黃大仙正德街104號,H01,九龍東
H0201,聖公會基德小學,九龍黃大仙大成街,H02,九龍東
H0301,龍翔官立中學,九龍黃大仙馬仔坑道1號,H03,九龍東
H0401,嗇色園西醫診所,九龍黃大仙鳳德道38號嗇色園社會服務大樓地下C,H04,九龍東
H0501,鳳德社區中心,九龍鑽石山鳳德道111號鳳德邨,H05,九龍東
H0601,香港小童群益會賽馬會慈雲山青少年綜合服務中心,九龍鑽石山龍蟠苑商場2樓203號,H06,九龍東
H0602,保良局張麥珍耆樂中心,九龍鑽石山龍蟠街1號悅庭軒地下,H06,九龍東
H0701,可立中學(嗇色園主辦),九龍新蒲崗爵祿街15號,H07,九龍東
H0702,嘉諾撒小學 (新蒲崗),九龍新蒲崗彩頤里9號,H07,九龍東
H0801,東頭社區中心,九龍黃大仙樂善道26號,H08,九龍東
H0901,華德學校,九龍黃大仙聯合道150號,H09,九龍東
H1001,摩士公園體育館,九龍黃大仙鳳舞街40號,H10,九龍東
H1101,香港青年協會賽馬會橫頭磡青年空間,九龍橫頭磡邨宏興樓地下,H11,九龍東
H1102,香港傷殘青年協會賽馬會活動中心,九龍橫頭磡邨宏基樓地下1-13號,H11,九龍東
H1201,天主教博智小學,九龍黃大仙竹園道53號天馬苑,H12,九龍東
H1202,潔心林炳炎中學,九龍橫頭磡富美街9號,H12,九龍東
H1301,嗇色園主辦可德幼稚園,九龍黃大仙竹園北邨松園樓地下,H13,九龍東
H1302,翠竹商場5樓,九龍黃大仙翠竹街8號翠竹花園翠竹商場5樓,H13,九龍東
H1401,竹園社區中心,九龍黃大仙竹園道11號竹園南邨,H14,九龍東
H1402,浸信會天虹小學,九龍黃大仙竹園南邨,H14,九龍東
H1501,竹園體育館,九龍黃大仙竹園道10號竹園北邨,H15,九龍東
H1601,慈雲山(南區)社區中心,九龍黃大仙慈雲山雲華街45號,H16,九龍東
H1701,肖霞幼稚園,九龍慈雲山慈雲山道120號慈愛苑3期幼稚園座,H17,九龍東
H1801,慈雲山聖文德天主教小學,九龍慈雲山慈正邨第2期寧華街,H18,九龍東
H1901,德愛中學,九龍慈雲山慈雲山道8號,H19,九龍東
H2001,香港海事青年團,九龍鑽石山豐盛街11號,H20,九龍東
H2002,香港遊樂場協會賽馬會瓊富青少年綜合服務中心,九龍黃大仙富山邨富信樓地庫一層7-12號,H20,九龍東
H2101,保良局陳麗玲(百周年)學校,九龍清水灣道55號彩雲邨,H21,九龍東
H2201,香港幼稚園協會幼兒學校,九龍彩雲邨紫霄樓地下,H22,九龍東
H2301,彩雲社區中心,九龍牛池灣彩雲(一)邨彩鳳徑38號,H23,九龍東
H2401,佛教孔仙洲紀念中學,九龍斧山平定道10號,H24,九龍東
H2402,中華基督教會基華小學,九龍黃大仙彩虹邨黃菊路3號,H24,九龍東
H2501,聖公會聖本德中學,九龍彩虹邨藍鐘路11號,H25,九龍東
J0101,觀塘官立小學,九龍觀塘牛頭角道240號,J01,九龍東
J0102,觀塘社區中心,九龍觀塘翠屏道17號,J01,九龍東
J0201,德福花園社區會堂,九龍九龍灣偉業街33號德福花園I座平台,J02,九龍東
J0301,啟業社區會堂,九龍九龍灣啟業邨,J03,九龍東
J0401,仁濟醫院羅陳楚思中學,九龍九龍灣啟禮道10號,J04,九龍東
J0501,坪石天主教小學,九龍清水灣道10號坪石邨,J05,九龍東
J0601,佐敦谷聖若瑟天主教小學,九龍彩霞道80號,J06,九龍東
J0701,香港基督教服務處樂暉長者地區中心,九龍觀塘彩福邨彩樂樓地下,J07,九龍東
J0702,天主教彩霞邨潔心幼稚園,九龍牛頭角彩霞邨停車場平台4號,J07,九龍東
J0801,寧波第二中學,九龍觀塘順天邨順安道9號,J08,九龍東
J0901,順利社區中心,九龍順利邨順緻街2號,J09,九龍東
J0902,中華基督教會基順學校,九龍觀塘順利邨,J09,九龍東
J1001,迦密梁省德學校,九龍觀塘順安邨第2號校舍,J10,九龍東
J1101,秀茂坪天主教小學,九龍觀塘秀茂坪寶達邨,J11,九龍東
J1201,基督教聖約教會堅樂小學,九龍觀塘秀茂坪秀明道77號,J12,九龍東
J1301,路德會陳蒙恩幼稚園,九龍觀塘秀茂坪曉麗苑曉安閣地下,J13,九龍東
J1302,宣道會秀茂坪陳李詠貞幼稚園,九龍觀塘秀茂坪曉麗苑曉天閣地下,J13,九龍東
J1401,觀塘官立小學(秀明道),九龍觀塘秀茂坪秀明道130號,J14,九龍東
J1402,中華傳道會基石堂,九龍秀茂坪寶達邨B停車場地下1號,J14,九龍東
J1501,秀明小學,九龍觀塘秀茂坪秀豐街5號,J15,九龍東
J1601,聖愛德華天主教小學,九龍藍田慶田街8號,J16,九龍東
J1701,藍田聖保祿中學,九龍藍田安田街10號,J17,九龍東
J1702,飛雁幼稚園,九龍藍田康逸苑停車場頂層,J17,九龍東
J1801,藍田(東區)社區會堂,九龍藍田碧雲道223號藍田社區綜合大樓2樓,J18,九龍東
J1802,藍田(南)體育館,九龍藍田碧雲道170號,J18,九龍東
J1901,聖公會李兆強小學,九龍藍田安田街平田邨第1校舍,J19,九龍東
J2001,聖公會慈光堂聖匠幼稚園,九龍藍田康栢苑停車場大廈7樓,J20,九龍東
J2101,保良局方王錦全幼稚園,九龍油塘高超道23號高俊苑俊滿閣地下,J21,九龍東
J2201,中華基督教會基法小學(油塘),九龍油塘油塘道25號,J22,九龍東
J2301,油塘社區會堂,九龍油塘高超道38號,J23,九龍東
J2302,福建中學附屬學校,九龍油塘邨第2期,J23,九龍東
J2401,天主教普照中學,九龍油塘普照路1號,J24,九龍東
J2402,鯉魚門體育館,九龍油塘鯉魚門徑6號鯉魚門市政大廈4樓,J24,九龍東
J2501,茜草灣鄰里社區中心,九龍油塘茶果嶺道81號,J25,九龍東
J2601,藍田(西區)社區中心,九龍藍田啟田道71號,J26,九龍東
J2701,天主教佑華小學,九龍觀塘翠屏邨第4期屋邨小學,J27,九龍東
J2801,觀塘瑪利諾書院,九龍觀塘翠屏道100號,J28,九龍東
J2901,地利亞修女紀念學校(月華),九龍觀塘月華街19號,J29,九龍東
J3001,瑞和街體育館,九龍觀塘瑞和街9號瑞和街市政大廈8樓,J30,九龍東
J3002,曉光街體育館,九龍觀塘曉光街2號,J30,九龍東
J3101,觀塘功樂官立中學,九龍觀塘功樂道90號,J31,九龍東
J3201,聖公會基顯小學,九龍觀塘牛頭角上邨安善道,J32,九龍東
J3301,循道衛理觀塘社會服務處牛頭角青少年綜合服務中心,九龍觀塘牛頭角道189號牛頭角上邨中央廣場,J33,九龍東
J3401,振華道體育館,九龍牛頭角振華道50號樂雅苑停車場頂樓,J34,九龍東
J3402,保良局顧卞裘莉長者日間護理中心,九龍觀塘牛頭角下邨貴月樓及貴顯樓地下,J34,九龍東
J3501,彩頤居禮堂,九龍牛頭角彩霞道55號彩頤居地下,J35,九龍東
J3601,聖公會基樂小學,九龍牛頭角樂華邨1期,J36,九龍東
J3701,樂華社區中心,九龍牛頭角樂華南邨振華道80號,J37,九龍東
K0101,雅麗珊社區中心,新界荃灣大河道60號,K01,新界西
K0201,荃灣天主教小學,新界荃灣德華街37-41號,K02,新界西
K0301,天主教石鐘山紀念小學,新界荃灣海濱花園永順街39號,K03,新界西
K0401,寶安商會王少清中學,新界荃灣大壩街2號,K04,新界西
K0501,荃灣官立中學,新界荃灣海壩街70號,K05,新界西
K0601,荃景圍體育館,新界荃灣美環街38號,K06,新界西
K0701,柴灣角天主教小學,新界荃灣安賢街2-10號,K07,新界西
K0801,中華基督教會基慧小學,新界荃灣荃景圍167-185號,K08,新界西
K0802,川龍村公所,新界荃灣荃錦公路川龍村24號C,K08,新界西
K0901,荃灣官立小學,新界荃灣麗城花園青山公路600號,K09,新界西
K1001,深井天主教小學,新界荃灣青山公路深井段37號,K10,新界西
K1101,香港浸信會聯會小學,新界荃灣麗順路2號麗城花園,K11,新界西
K1102,荃灣聖芳濟中學,新界荃灣咸田街60-64號,K11,新界西
K1201,澳仙納幼稚園舊址,新界荃灣青龍頭龍如路387地段,K12,新界西
K1202,豪景花園遊樂會,新界荃灣青山公路100號青龍頭豪景花園,K12,新界西
K1301,中華基督教會基慧小學(馬灣),新界荃灣馬灣珀麗灣珀林路12號,K13,新界西
K1401,蕙荃體育館,新界荃灣廟崗街6號,K14,新界西
K1501,梨木樹社區會堂,新界荃灣梨木樹邨康樹樓地下梨木樹社區會堂,K15,新界西
K1502,河背村村公所,新界荃灣國瑞路河背村48號B,K15,新界西
K1601,梨木樹天主教小學,新界荃灣梨木樹邨第2校舍,K16,新界西
K1701,香港道教聯合會圓玄學院石圍角小學,新界荃灣石圍角邨第2小學校舍香港道教聯合會圓玄學院石圍角小學,K17,新界西
K1801,前荃灣信義學校,新界荃灣象山邨,K18,新界西
K1802,荃灣公立何傳耀紀念中學,新界荃灣石圍角邨屋邨中學第1號荃灣公立何傳耀紀念中學,K18,新界西
L0101,屯門市中心社區會堂,新界屯門時代廣場北翼L4層,L01,新界西
L0102,青山天主教小學,新界屯門鄉事會路2號,L01,新界西
L0201,保良局香港道教聯合會圓玄小學,新界屯門青山公路青海圍26號,L02,新界西
L0202,仁愛堂劉皇發夫人小學,新界屯門安定邨第6座校舍,L02,新界西
L0301,深培中學,新界屯門兆麟街18號,L03,新界西
L0302,青松侯寶垣中學,新界屯門恒富街21號,L03,新界西
L0401,安定/友愛社區中心,新界屯門安定邨,L04,新界西
L0402,聖公會青山聖彼得堂兆麟苑幼稚園,新界屯門兆麟苑商場地下,L04,新界西
L0501,順德聯誼總會譚伯羽中學,新界屯門友愛邨友愛路9號,L05,新界西
L0601,伊斯蘭學校,新界屯門友愛邨愛德里2號,L06,新界西
L0602,仁濟醫院何式南小學,新界屯門第16區,L06,新界西
L0701,馬錦明慈善基金馬可賓紀念中學,新界屯門石排頭路17號,L07,新界西
L0801,山景社區會堂,新界屯門山景邨,L08,新界西
L0901,大興社區會堂,新界屯門大興邨商場,L09,新界西
L0902,仁愛堂陳黃淑芳紀念中學,新界屯門旺賢街2號,L09,新界西
L1001,大興體育館,新界屯門青松觀路38號,L10,新界西
L1101,中華基督教會譚李麗芬紀念中學,新界屯門新墟新和里10號,L11,新界西
L1102,井財街社區會堂,新界屯門井財街27號,L11,新界西
L1201,救世軍三聖邨劉伍英學校,新界屯門青山公路三聖邨,L12,新界西
L1202,海關訓練學校,新界屯門大欖涌道10號,L12,新界西
L1301,入境事務學院,新界屯門青山灣青山公路82號地下高層,L13,新界西
L1302,保良局西區婦女福利會馮李佩瑤小學,新界屯門掃管笏管青路11號,L13,新界西
L1401,新屯門中心社區中心,新界屯門龍門路55-65號新屯門商場L3層,L14,新界西
L1501,南屯門官立中學,新界屯門湖山路218號,L15,新界西
L1601,世界龍岡學校劉德容紀念小學,新界屯門湖翠路263號,L16,新界西
L1701,東華三院辛亥年總理中學,新界屯門湖景邨湖昌街3號,L17,新界西
L1801,五邑鄒振猷學校,新界屯門蝴蝶邨兆山苑,L18,新界西
L1802,蝴蝶灣社區中心,新界屯門蝴蝶邨,L18,新界西
L1901,香港路德會增城兆霖學校,新界屯門第28區蝴蝶邨第3期屋邨小學第5校舍,L19,新界西
L1902,龍鼓灘村公所,新界屯門龍鼓灘北朗村1號,L19,新界西
L2001,龍逸社區會堂,新界屯門業旺路106號,L20,新界西
L2002,仁濟醫院第二中學,新界屯門第31區楊青路,L20,新界西
L2101,香港紅卍字會屯門卍慈小學,新界屯門良景邨第1校舍,L21,新界西
L2201,良景社區中心,新界屯門良景邨,L22,新界西
L2301,柏立基教育學院校友會何壽基學校,新界屯門田景邨第1號校舍,L23,新界西
L2401,保良局志豪小學,新界屯門29區興富街3號,L24,新界西
L2402,屯門紫田村村公所,新界屯門紫田路紫田村93號,L24,新界西
L2501,建生社區會堂,新界屯門建生邨,L25,新界西
L2601,屯門官立小學,新界屯門兆康苑,L26,新界西
L2701,聖公會蒙恩小學,新界屯門景峰徑1號,L27,新界西
L2702,興德學校,新界屯門慶平路1號,L27,新界西
L2801,嶺南大學郭少明伉儷樓,新界屯門嶺南大學郭少明伉儷樓地下9號室,L28,新界西
L2802,福亨村村公所,新界屯門福亨村路,L28,新界西
L2901,僑所公立學校,新界屯門鍾屋村1A號,L29,新界西
L2902,屯門學校,新界屯門五柳路254號,L29,新界西
L2903,屯門新村村公所,新界屯門藍地屯門新村57號A,L29,新界西
M0101,元朗商會小學,新界元朗青山公路244號,M01,新界西
M0201,聖公會靈愛小學,新界元朗媽廟路15號,M02,新界西
M0202,元朗公立中學校友會小學,新界元朗公園北路2號,M02,新界西
M0301,朗屏社區會堂,新界元朗朗屏邨,M03,新界西
M0401,元朗朗屏邨東莞學校,新界元朗朗屏邨第1期,M04,新界西
M0501,元朗郵政局,新界元朗元朗炮仗坊8號地下B舖,M05,新界西
M0502,鳳琴街體育館,新界元朗鳳攸北街20號,M05,新界西
M0601,中華基督教會基元中學,新界元朗鳳攸東街,M06,新界西
M0701,佛教榮茵學校,新界元朗鳳攸南街6號,M07,新界西
M0801,元朗官立小學,新界元朗坳頭友全街,M08,新界西
M0802,鐘聲學校,新界元朗舊墟路29號,M08,新界西
M0901,聖公會白約翰會督中學,新界元朗鳳攸南街10號,M09,新界西
M0902,明愛元朗陳震夏中學,新界元朗西裕街66號,M09,新界西
M1001,瑋琦文化教育機構(殷翠幼稚園),新界元朗大棠路崇正新村153號地下,M10,新界西
M1002,香港童軍總會蔡志明聯光童軍中心,新界元朗大棠道大棠村1號,M10,新界西
M1101,工業福音團契元朗惠群天地,新界元朗屏山孖峰嶺路16號,M11,新界西
M1102,可道中學（嗇色園主辦）,新界元朗洪水橋洪順路11號,M11,新界西
